scrape_timestamp,page_number,row_number,inferred_name,inferred_handle,inferred_followers,inferred_er,inferred_engagement,numeric_tokens,percent_tokens,all_visible_text,visible_lines_json,debug_notes,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12
2026-03-26T10:55:34,5,1,Antiaging I Longevity,@antiagingmission,967.7k,0.03%,0.03,"[""967.7k"", ""0.03"", ""251""]","[""0.03%""]",Antiaging I Longevity | @antiagingmission | 967.7k | 0.03% | 251 | Save,"[""Antiaging I Longevity"", ""@antiagingmission"", ""967.7k"", ""0.03%"", ""251"", ""Save""]",,Antiaging I Longevity,@antiagingmission,967.7k,0.03%,251,Save,,,,,,
2026-03-26T10:55:34,5,2,Simple Life App,@simpleappofficial,964k,0.08%,0.08,"[""964k"", ""0.08"", ""804""]","[""0.08%""]",Simple Life App | @simpleappofficial | 964k | 0.08% | 804 | Save,"[""Simple Life App"", ""@simpleappofficial"", ""964k"", ""0.08%"", ""804"", ""Save""]",,Simple Life App,@simpleappofficial,964k,0.08%,804,Save,,,,,,
2026-03-26T10:55:34,5,3,Dr. Jaban Moore,@drjabanmoore,955.7k,0.06%,0.06,"[""955.7k"", ""0.06"", ""548""]","[""0.06%""]",Dr. Jaban Moore | @drjabanmoore | 955.7k | 0.06% | 548 | Save,"[""Dr. Jaban Moore"", ""@drjabanmoore"", ""955.7k"", ""0.06%"", ""548"", ""Save""]",,Dr. Jaban Moore,@drjabanmoore,955.7k,0.06%,548,Save,,,,,,
2026-03-26T10:55:34,5,4,Naveen Jain,@naveenjainceo,948.6k,0%,0,"[""948.6k"", ""0"", ""28""]","[""0%""]",Naveen Jain | @naveenjainceo | 948.6k | 0% | 28 | Save,"[""Naveen Jain"", ""@naveenjainceo"", ""948.6k"", ""0%"", ""28"", ""Save""]",,Naveen Jain,@naveenjainceo,948.6k,0%,28,Save,,,,,,
2026-03-26T10:55:34,5,5,Brandon Dawson,@brandonmdawson,947.3k,1.24%,1.24,"[""947.3k"", ""1.24"", ""11.7k""]","[""1.24%""]",Brandon Dawson | @brandonmdawson | 947.3k | 1.24% | 11.7k | Save,"[""Brandon Dawson"", ""@brandonmdawson"", ""947.3k"", ""1.24%"", ""11.7k"", ""Save""]",,Brandon Dawson,@brandonmdawson,947.3k,1.24%,11.7k,Save,,,,,,
2026-03-26T10:55:34,5,6,Dr. Pedi Mirdamadi,@drpedinaturalhealth,900.7k,0.05%,0.05,"[""900.7k"", ""0.05"", ""454""]","[""0.05%""]",Dr. Pedi Mirdamadi | @drpedinaturalhealth | 900.7k | 0.05% | 454 | Save,"[""Dr. Pedi Mirdamadi"", ""@drpedinaturalhealth"", ""900.7k"", ""0.05%"", ""454"", ""Save""]",,Dr. Pedi Mirdamadi,@drpedinaturalhealth,900.7k,0.05%,454,Save,,,,,,
2026-03-26T10:55:34,5,7,Mikhaila Fuller,@mikhailapeterson,899.5k,0.29%,0.29,"[""899.5k"", ""0.29"", ""2.6k""]","[""0.29%""]",Mikhaila Fuller | @mikhailapeterson | 899.5k | 0.29% | 2.6k | Save,"[""Mikhaila Fuller"", ""@mikhailapeterson"", ""899.5k"", ""0.29%"", ""2.6k"", ""Save""]",,Mikhaila Fuller,@mikhailapeterson,899.5k,0.29%,2.6k,Save,,,,,,
2026-03-26T10:55:34,5,8,Amino Acids Health,@aminocompany,883.1k,0%,0,"[""883.1k"", ""0"", ""4""]","[""0%""]",Amino Acids Health | @aminocompany | 883.1k | 0% | 4 | Save,"[""Amino Acids Health"", ""@aminocompany"", ""883.1k"", ""0%"", ""4"", ""Save""]",,Amino Acids Health,@aminocompany,883.1k,0%,4,Save,,,,,,
2026-03-26T10:55:34,5,9,"Dan Gubler, Ph.D.",@drdangubler,872.2k,0.83%,0.83,"[""872.2k"", ""0.83"", ""7.2k""]","[""0.83%""]","Dan Gubler, Ph.D. | @drdangubler | 872.2k | 0.83% | 7.2k | Save","[""Dan Gubler, Ph.D."", ""@drdangubler"", ""872.2k"", ""0.83%"", ""7.2k"", ""Save""]",,"Dan Gubler, Ph.D.",@drdangubler,872.2k,0.83%,7.2k,Save,,,,,,
2026-03-26T10:55:34,5,10,Skinny Bunny Tea,@skinnybunnytea,870.1k,0%,0,"[""870.1k"", ""0"", ""7""]","[""0%""]",Skinny Bunny Tea | @skinnybunnytea | 870.1k | 0% | 7 | Save,"[""Skinny Bunny Tea"", ""@skinnybunnytea"", ""870.1k"", ""0%"", ""7"", ""Save""]",,Skinny Bunny Tea,@skinnybunnytea,870.1k,0%,7,Save,,,,,,
2026-03-26T10:55:34,5,11,Ali Ramadan,@holisticali,846.2k,,,"[""846.2k""]",[],Ali Ramadan | @holisticali | 846.2k | Likes are hidden | Likes are hidden | Save,"[""Ali Ramadan"", ""@holisticali"", ""846.2k"", ""Likes are hidden"", ""Likes are hidden"", ""Save""]","er_missing,engagement_missing",Ali Ramadan,@holisticali,846.2k,Likes are hidden,Likes are hidden,Save,,,,,,
2026-03-26T10:55:34,5,12,"Casey Means, MD",@drcaseyskitchen,845.4k,0.12%,0.12,"[""845.4k"", ""0.12"", ""1k""]","[""0.12%""]","Casey Means, MD | @drcaseyskitchen | 845.4k | 0.12% | 1k | Save","[""Casey Means, MD"", ""@drcaseyskitchen"", ""845.4k"", ""0.12%"", ""1k"", ""Save""]",,"Casey Means, MD",@drcaseyskitchen,845.4k,0.12%,1k,Save,,,,,,
2026-03-26T10:55:34,5,13,Meelah_Moss_Seamoss,@meelah_moss,810.8k,0.06%,0.06,"[""810.8k"", ""0.06"", ""496""]","[""0.06%""]",Meelah_Moss_Seamoss | @meelah_moss | 810.8k | 0.06% | 496 | Save,"[""Meelah_Moss_Seamoss"", ""@meelah_moss"", ""810.8k"", ""0.06%"", ""496"", ""Save""]",,Meelah_Moss_Seamoss,@meelah_moss,810.8k,0.06%,496,Save,,,,,,
2026-03-26T10:55:34,5,14,Dr. Will Cole,@drwillcole,810k,0.39%,0.39,"[""810k"", ""0.39"", ""3.2k""]","[""0.39%""]",Dr. Will Cole | @drwillcole | 810k | 0.39% | 3.2k | Save,"[""Dr. Will Cole"", ""@drwillcole"", ""810k"", ""0.39%"", ""3.2k"", ""Save""]",,Dr. Will Cole,@drwillcole,810k,0.39%,3.2k,Save,,,,,,
2026-03-26T10:55:34,5,15,"Casey Farlow, Perimenopause Dietitian",@perimenopause.nutritionist,807.6k,0.04%,0.04,"[""807.6k"", ""0.04"", ""337""]","[""0.04%""]","Casey Farlow, Perimenopause Dietitian | @perimenopause.nutritionist | 807.6k | 0.04% | 337 | Save","[""Casey Farlow, Perimenopause Dietitian"", ""@perimenopause.nutritionist"", ""807.6k"", ""0.04%"", ""337"", ""Save""]",,"Casey Farlow, Perimenopause Dietitian",@perimenopause.nutritionist,807.6k,0.04%,337,Save,,,,,,
2026-03-26T10:56:05,6,1,Tonum Health,@smoothie.healing,806.5k,0.08%,0.08,"[""806.5k"", ""0.08"", ""678""]","[""0.08%""]",Tonum Health | @smoothie.healing | 806.5k | 0.08% | 678 | Save,"[""Tonum Health"", ""@smoothie.healing"", ""806.5k"", ""0.08%"", ""678"", ""Save""]",,Tonum Health,@smoothie.healing,806.5k,0.08%,678,Save,,,,,,
2026-03-26T10:56:05,6,2,Emmie Keefe | Healthy Emmie,@healthyemmie,803.9k,0.82%,0.82,"[""803.9k"", ""0.82"", ""6.6k""]","[""0.82%""]",Emmie Keefe | Healthy Emmie | @healthyemmie | 803.9k | 0.82% | 6.6k | Save,"[""Emmie Keefe | Healthy Emmie"", ""@healthyemmie"", ""803.9k"", ""0.82%"", ""6.6k"", ""Save""]",,Emmie Keefe | Healthy Emmie,@healthyemmie,803.9k,0.82%,6.6k,Save,,,,,,
2026-03-26T10:56:05,6,3,"Sabine Hazan, MD",@dr.sabinehazan,800.4k,1.35%,1.35,"[""800.4k"", ""1.35"", ""10.8k""]","[""1.35%""]","Sabine Hazan, MD | @dr.sabinehazan | 800.4k | 1.35% | 10.8k | Save","[""Sabine Hazan, MD"", ""@dr.sabinehazan"", ""800.4k"", ""1.35%"", ""10.8k"", ""Save""]",,"Sabine Hazan, MD",@dr.sabinehazan,800.4k,1.35%,10.8k,Save,,,,,,
2026-03-26T10:56:05,6,4,David Sinclair,@davidsinclairphd,779.9k,0.31%,0.31,"[""779.9k"", ""0.31"", ""2.4k""]","[""0.31%""]",David Sinclair | @davidsinclairphd | 779.9k | 0.31% | 2.4k | Save,"[""David Sinclair"", ""@davidsinclairphd"", ""779.9k"", ""0.31%"", ""2.4k"", ""Save""]",,David Sinclair,@davidsinclairphd,779.9k,0.31%,2.4k,Save,,,,,,
2026-03-26T10:56:05,6,5,Axed News,@axed.news,776.7k,0%,0,"[""776.7k"", ""0"", ""6""]","[""0%""]",Axed News | @axed.news | 776.7k | 0% | 6 | Save,"[""Axed News"", ""@axed.news"", ""776.7k"", ""0%"", ""6"", ""Save""]",,Axed News,@axed.news,776.7k,0%,6,Save,,,,,,
2026-03-26T10:56:05,6,6,Phor Robinson,@phoreverim,776.2k,0.27%,0.27,"[""776.2k"", ""0.27"", ""2.1k""]","[""0.27%""]",Phor Robinson | @phoreverim | 776.2k | 0.27% | 2.1k | Save,"[""Phor Robinson"", ""@phoreverim"", ""776.2k"", ""0.27%"", ""2.1k"", ""Save""]",,Phor Robinson,@phoreverim,776.2k,0.27%,2.1k,Save,,,,,,
2026-03-26T10:56:05,6,7,Steven Geanopulos,@drsteveng,776k,0.05%,0.05,"[""776k"", ""0.05"", ""413""]","[""0.05%""]",Steven Geanopulos | @drsteveng | 776k | 0.05% | 413 | Save,"[""Steven Geanopulos"", ""@drsteveng"", ""776k"", ""0.05%"", ""413"", ""Save""]",,Steven Geanopulos,@drsteveng,776k,0.05%,413,Save,,,,,,
2026-03-26T10:56:05,6,8,Weightloss & Fitness Guidence,@wishealthylife,775.7k,0%,0,"[""775.7k"", ""0"", ""33""]","[""0%""]",Weightloss & Fitness Guidence | @wishealthylife | 775.7k | 0% | 33 | Save,"[""Weightloss & Fitness Guidence"", ""@wishealthylife"", ""775.7k"", ""0%"", ""33"", ""Save""]",,Weightloss & Fitness Guidence,@wishealthylife,775.7k,0%,33,Save,,,,,,
2026-03-26T10:56:05,6,9,⭐ FITNESS I NUTRITION I DIET ⭐,@fitness_tipsters,772.6k,0.03%,0.03,"[""772.6k"", ""0.03"", ""266""]","[""0.03%""]",⭐ FITNESS I NUTRITION I DIET ⭐ | @fitness_tipsters | 772.6k | 0.03% | 266 | Save,"[""\u2b50 FITNESS I NUTRITION I DIET \u2b50"", ""@fitness_tipsters"", ""772.6k"", ""0.03%"", ""266"", ""Save""]",,⭐ FITNESS I NUTRITION I DIET ⭐,@fitness_tipsters,772.6k,0.03%,266,Save,,,,,,
2026-03-26T10:56:05,6,10,Higher To Health,@highertohealth,762.3k,0.1%,0.1,"[""762.3k"", ""0.1"", ""726""]","[""0.1%""]",Higher To Health | @highertohealth | 762.3k | 0.1% | 726 | Save,"[""Higher To Health"", ""@highertohealth"", ""762.3k"", ""0.1%"", ""726"", ""Save""]",,Higher To Health,@highertohealth,762.3k,0.1%,726,Save,,,,,,
2026-03-26T10:56:05,6,11,Johnny Hadac,@drjohnnyhadac,739.8k,0.21%,0.21,"[""739.8k"", ""0.21"", ""1.6k""]","[""0.21%""]",Johnny Hadac | @drjohnnyhadac | 739.8k | 0.21% | 1.6k | Save,"[""Johnny Hadac"", ""@drjohnnyhadac"", ""739.8k"", ""0.21%"", ""1.6k"", ""Save""]",,Johnny Hadac,@drjohnnyhadac,739.8k,0.21%,1.6k,Save,,,,,,
2026-03-26T10:56:05,6,12,DETOX WEIGHT LOSS,@detoxweightloss,726.4k,,,"[""726.4k""]",[],DETOX WEIGHT LOSS | @detoxweightloss | 726.4k | Likes are hidden | Likes are hidden | Save,"[""DETOX WEIGHT LOSS"", ""@detoxweightloss"", ""726.4k"", ""Likes are hidden"", ""Likes are hidden"", ""Save""]","er_missing,engagement_missing",DETOX WEIGHT LOSS,@detoxweightloss,726.4k,Likes are hidden,Likes are hidden,Save,,,,,,
2026-03-26T10:56:05,6,13,Natalie Jill- Over 50 MIDLIFE CONVERSATIONS,@nataliejillfit,50,0.18%,723.1k,"[""50"", ""723.1k"", ""0.18"", ""1.3k""]","[""0.18%""]",Natalie Jill- Over 50 MIDLIFE CONVERSATIONS | @nataliejillfit | 723.1k | 0.18% | 1.3k | Save,"[""Natalie Jill- Over 50 MIDLIFE CONVERSATIONS"", ""@nataliejillfit"", ""723.1k"", ""0.18%"", ""1.3k"", ""Save""]",,Natalie Jill- Over 50 MIDLIFE CONVERSATIONS,@nataliejillfit,723.1k,0.18%,1.3k,Save,,,,,,
2026-03-26T10:56:05,6,14,Itay Shechter,@gfbeef,721.3k,0.6%,0.6,"[""721.3k"", ""0.6"", ""4.3k""]","[""0.6%""]",Itay Shechter | @gfbeef | 721.3k | 0.6% | 4.3k | Save,"[""Itay Shechter"", ""@gfbeef"", ""721.3k"", ""0.6%"", ""4.3k"", ""Save""]",,Itay Shechter,@gfbeef,721.3k,0.6%,4.3k,Save,,,,,,
2026-03-26T10:56:05,6,15,titusunlimited,@titusunlimited,708.5k,0.06%,0.06,"[""708.5k"", ""0.06"", ""423""]","[""0.06%""]",titusunlimited | @titusunlimited | 708.5k | 0.06% | 423 | Save,"[""titusunlimited"", ""@titusunlimited"", ""708.5k"", ""0.06%"", ""423"", ""Save""]",,titusunlimited,@titusunlimited,708.5k,0.06%,423,Save,,,,,,
2026-03-26T10:56:33,7,1,Weight Loss Coach/ Shapewear,@kickweightwithkeisha,687.8k,0.03%,0.03,"[""687.8k"", ""0.03"", ""227""]","[""0.03%""]",Weight Loss Coach/ Shapewear | @kickweightwithkeisha | 687.8k | 0.03% | 227 | Save,"[""Weight Loss Coach/ Shapewear"", ""@kickweightwithkeisha"", ""687.8k"", ""0.03%"", ""227"", ""Save""]",,Weight Loss Coach/ Shapewear,@kickweightwithkeisha,687.8k,0.03%,227,Save,,,,,,
2026-03-26T10:56:33,7,2,Dr Jennifer Ashton,@drjashton,679.5k,0.38%,0.38,"[""679.5k"", ""0.38"", ""2.6k""]","[""0.38%""]",Dr Jennifer Ashton | @drjashton | 679.5k | 0.38% | 2.6k | Save,"[""Dr Jennifer Ashton"", ""@drjashton"", ""679.5k"", ""0.38%"", ""2.6k"", ""Save""]",,Dr Jennifer Ashton,@drjashton,679.5k,0.38%,2.6k,Save,,,,,,
2026-03-26T10:56:33,7,3,Hormonal Health Coach for Women 30+,@ericafitlove,30,0.05%,677.6k,"[""30"", ""677.6k"", ""0.05"", ""324""]","[""0.05%""]",Hormonal Health Coach for Women 30+ | @ericafitlove | 677.6k | 0.05% | 324 | Save,"[""Hormonal Health Coach for Women 30+"", ""@ericafitlove"", ""677.6k"", ""0.05%"", ""324"", ""Save""]",,Hormonal Health Coach for Women 30+,@ericafitlove,677.6k,0.05%,324,Save,,,,,,
2026-03-26T10:56:33,7,4,Colin Smith,@largebaj,677.1k,1.9%,1.9,"[""677.1k"", ""1.9"", ""12.9k""]","[""1.9%""]",Colin Smith | @largebaj | 677.1k | 1.9% | 12.9k | Save,"[""Colin Smith"", ""@largebaj"", ""677.1k"", ""1.9%"", ""12.9k"", ""Save""]",,Colin Smith,@largebaj,677.1k,1.9%,12.9k,Save,,,,,,
2026-03-26T10:56:33,7,5,Giselle Orentas,@giselle.orentas,655.6k,0.77%,0.77,"[""655.6k"", ""0.77"", ""5k""]","[""0.77%""]",Giselle Orentas | @giselle.orentas | 655.6k | 0.77% | 5k | Save,"[""Giselle Orentas"", ""@giselle.orentas"", ""655.6k"", ""0.77%"", ""5k"", ""Save""]",,Giselle Orentas,@giselle.orentas,655.6k,0.77%,5k,Save,,,,,,
2026-03-26T10:56:33,7,6,Dr Thierry Jacquemin,@drthierryjacquemin,643.7k,0.71%,0.71,"[""643.7k"", ""0.71"", ""4.6k""]","[""0.71%""]",Dr Thierry Jacquemin | @drthierryjacquemin | 643.7k | 0.71% | 4.6k | Save,"[""Dr Thierry Jacquemin"", ""@drthierryjacquemin"", ""643.7k"", ""0.71%"", ""4.6k"", ""Save""]",,Dr Thierry Jacquemin,@drthierryjacquemin,643.7k,0.71%,4.6k,Save,,,,,,
2026-03-26T10:56:33,7,7,COURTNEY SWAN Realfoodology™,@realfoodology,638.9k,0.36%,0.36,"[""638.9k"", ""0.36"", ""2.3k""]","[""0.36%""]",COURTNEY SWAN Realfoodology™ | @realfoodology | 638.9k | 0.36% | 2.3k | Save,"[""COURTNEY SWAN Realfoodology\u2122"", ""@realfoodology"", ""638.9k"", ""0.36%"", ""2.3k"", ""Save""]",,COURTNEY SWAN Realfoodology™,@realfoodology,638.9k,0.36%,2.3k,Save,,,,,,
2026-03-26T10:56:33,7,8,Juan Abi,@abienergy22,638.8k,0.04%,0.04,"[""638.8k"", ""0.04"", ""282""]","[""0.04%""]",Juan Abi | @abienergy22 | 638.8k | 0.04% | 282 | Save,"[""Juan Abi"", ""@abienergy22"", ""638.8k"", ""0.04%"", ""282"", ""Save""]",,Juan Abi,@abienergy22,638.8k,0.04%,282,Save,,,,,,
2026-03-26T10:56:33,7,9,Zac Smith - IFBB Pro & Online Fitness Coach,@zacsmithfitness,631.1k,0.07%,0.07,"[""631.1k"", ""0.07"", ""436""]","[""0.07%""]",Zac Smith - IFBB Pro & Online Fitness Coach | @zacsmithfitness | 631.1k | 0.07% | 436 | Save,"[""Zac Smith - IFBB Pro & Online Fitness Coach"", ""@zacsmithfitness"", ""631.1k"", ""0.07%"", ""436"", ""Save""]",,Zac Smith - IFBB Pro & Online Fitness Coach,@zacsmithfitness,631.1k,0.07%,436,Save,,,,,,
2026-03-26T10:56:33,7,10,Ava Abrams,@beautiful_holistic_,621.2k,0.15%,0.15,"[""621.2k"", ""0.15"", ""960""]","[""0.15%""]",Ava Abrams | @beautiful_holistic_ | 621.2k | 0.15% | 960 | Save,"[""Ava Abrams"", ""@beautiful_holistic_"", ""621.2k"", ""0.15%"", ""960"", ""Save""]",,Ava Abrams,@beautiful_holistic_,621.2k,0.15%,960,Save,,,,,,
2026-03-26T10:56:33,7,11,Jamie Lee | The Empowered Mama Guide,@wisdom_in_motherhood,617.5k,0.36%,0.36,"[""617.5k"", ""0.36"", ""2.2k""]","[""0.36%""]",Jamie Lee | The Empowered Mama Guide | @wisdom_in_motherhood | 617.5k | 0.36% | 2.2k | Save,"[""Jamie Lee | The Empowered Mama Guide"", ""@wisdom_in_motherhood"", ""617.5k"", ""0.36%"", ""2.2k"", ""Save""]",,Jamie Lee | The Empowered Mama Guide,@wisdom_in_motherhood,617.5k,0.36%,2.2k,Save,,,,,,
2026-03-26T10:56:33,7,12,Jennifer Cohen,@therealjencohen,615.4k,0.17%,0.17,"[""615.4k"", ""0.17"", ""1k""]","[""0.17%""]",Jennifer Cohen | @therealjencohen | 615.4k | 0.17% | 1k | Save,"[""Jennifer Cohen"", ""@therealjencohen"", ""615.4k"", ""0.17%"", ""1k"", ""Save""]",,Jennifer Cohen,@therealjencohen,615.4k,0.17%,1k,Save,,,,,,
2026-03-26T10:56:33,7,13,Chris Powell,@realchrispowell,613.6k,0.14%,0.14,"[""613.6k"", ""0.14"", ""871""]","[""0.14%""]",Chris Powell | @realchrispowell | 613.6k | 0.14% | 871 | Save,"[""Chris Powell"", ""@realchrispowell"", ""613.6k"", ""0.14%"", ""871"", ""Save""]",,Chris Powell,@realchrispowell,613.6k,0.14%,871,Save,,,,,,
2026-03-26T10:56:33,7,14,Wellness Tips & Hacks,@wellnesstipsandhacks,612.2k,0.02%,0.02,"[""612.2k"", ""0.02"", ""97""]","[""0.02%""]",Wellness Tips & Hacks | @wellnesstipsandhacks | 612.2k | 0.02% | 97 | Save,"[""Wellness Tips & Hacks"", ""@wellnesstipsandhacks"", ""612.2k"", ""0.02%"", ""97"", ""Save""]",,Wellness Tips & Hacks,@wellnesstipsandhacks,612.2k,0.02%,97,Save,,,,,,
2026-03-26T10:56:33,7,15,Daily Health Tips,@ajorganicbeauty,607.1k,0.01%,0.01,"[""607.1k"", ""0.01"", ""56""]","[""0.01%""]",Daily Health Tips | @ajorganicbeauty | 607.1k | 0.01% | 56 | Save,"[""Daily Health Tips"", ""@ajorganicbeauty"", ""607.1k"", ""0.01%"", ""56"", ""Save""]",,Daily Health Tips,@ajorganicbeauty,607.1k,0.01%,56,Save,,,,,,
2026-03-26T10:57:04,8,1,Priscilla Swahn MS RD | Hormone & Thyroid Dietitian,@priscillaswahn.rd,603.7k,0.02%,0.02,"[""603.7k"", ""0.02"", ""97""]","[""0.02%""]",Priscilla Swahn MS RD | Hormone & Thyroid Dietitian | @priscillaswahn.rd | 603.7k | 0.02% | 97 | Save,"[""Priscilla Swahn MS RD | Hormone & Thyroid Dietitian"", ""@priscillaswahn.rd"", ""603.7k"", ""0.02%"", ""97"", ""Save""]",,Priscilla Swahn MS RD | Hormone & Thyroid Dietitian,@priscillaswahn.rd,603.7k,0.02%,97,Save,,,,,,
